coef;guild;merchantid
0,18;Ассоциация Оливковых Торговцев;24443558
0,71;Гильдия Августовских Торговцев;98577663
0,89;Гильдия Августовских Торговцев;54318609
0,88;Гильдия Гончаров;99724337
0,93;Гильдия Августовских Торговцев;94891441
0,67;Братство Кузнецов;107696187
0,41;Гильдия Гончаров;58311418
0,11;Гильдия Парфюмеров;70023546
0,89;Ассоциация Оливковых Торговцев;24082917
0,74;Гильдия Гончаров;66119540
0,22;Гильдия Августовских Торговцев;2062434
0,5;Ассоциация Оливковых Торговцев;104391878
0,11;Ассоциация Оливковых Торговцев;3141845
0,32;Гильдия Гончаров;93544758
0,09;Гильдия Гончаров;108219579
0,94;Ассоциация Оливковых Торговцев;47656639
0,3;Гильдия Гончаров;96252555
0,14;Гильдия Пекарей;94011964
0,87;Гильдия Гончаров;100107713
0,6;Ассоциация Оливковых Торговцев;107937610
0,1;Гильдия Парфюмеров;76582112
0,2;Гильдия Августовских Торговцев;84151892
0,51;Гильдия Августовских Торговцев;99133232
0,25;Ассоциация Оливковых Торговцев;108053587
0,72;Общество Ювелиров;305524943
0,63;Гильдия Августовских Торговцев;83452511
0,43;Гильдия Пекарей;71328065
0,85;Гильдия Гончаров;301254543
0,39;Гильдия Августовских Торговцев;40898132
0,85;Ассоциация Оливковых Торговцев;66836026
0,37;Братство Виноделов;104482934
0,45;Гильдия Гончаров;108449882
0,91;Гильдия Пекарей;46010073
0,83;Братство Поставщиков Специй;93091287
0,55;Гильдия Августовских Торговцев;97322450
0,19;Гильдия Августовских Торговцев;2776296
0,05;Объединение Рыбаков;303342309
0,14;Ассоциация Оливковых Торговцев;52350272
0,29;Ассоциация Оливковых Торговцев;99028605
0,67;Братство Кузнецов;88423472
0,19;Гильдия Парфюмеров;59251498
0,11;Братство Поставщиков Специй;83668031
0,58;Ассоциация Оливковых Торговцев;83872476
0,73;Гильдия Пекарей;104259571
0,94;Гильдия Пекарей;100215967
0,27;Гильдия Августовских Торговцев;100367682
0,67;Гильдия Августовских Торговцев;13427
0,93;Объединение Рыбаков;79883188
0,82;Гильдия Гончаров;93658536
0,98;Гильдия Августовских Торговцев;83412363
0,47;Гильдия Гончаров;100273811
0,14;Гильдия Августовских Торговцев;99614701
0,18;Ассоциация Оливковых Торговцев;303685167
0,42;Гильдия Гончаров;102311959
0,26;Гильдия Августовских Торговцев;97620348
0,48;Ассоциация Оливковых Торговцев;301744335
0,19;Гильдия Гончаров;45782206
0,8;Гильдия Пекарей;94623339
0,82;Ассоциация Оливковых Торговцев;305302773
0,86;Гильдия Гончаров;74844494
0,86;Ассоциация Оливковых Торговцев;100045154
0,06;Ассоциация Оливковых Торговцев;98150557
0,84;Гильдия Гончаров;100033921
0,5;Гильдия Августовских Торговцев;34503000
0,29;Гильдия Гончаров;108495503
0,59;Гильдия Гончаров;1747232
0,15;Гильдия Гончаров;22684422
0,87;Гильдия Августовских Торговцев;95447963
0,25;Гильдия Гончаров;106872901
0,65;Ассоциация Оливковых Торговцев;305460401
0,49;Гильдия Августовских Торговцев;82292624
0,84;Ассоциация Оливковых Торговцев;106228475
0,65;Союз Скотоводов;95821928
0,12;Братство Кузнецов;100868448
0,09;Братство Кузнецов;54709232
1;Ассоциация Оливковых Торговцев;95352099
0,65;Ассоциация Оливковых Торговцев;75267214
0,53;Гильдия Гончаров;1494386
0,98;Гильдия Гончаров;49358776
0,55;Ассоциация Оливковых Торговцев;102560606
0,2;Ассоциация Оливковых Торговцев;957869
0,29;Гильдия Пекарей;99879243
0,92;Братство Кузнецов;108613236
0,85;Братство Кузнецов;300000581
0,34;Ассоциация Оливковых Торговцев;846631
0,09;Гильдия Августовских Торговцев;69637034
0,93;Братство Кузнецов;104811892
0,99;Объединение Рыбаков;106173708
0,08;Гильдия Гончаров;108598379
0,52;Гильдия Пекарей;7191454
0,52;Ассоциация Оливковых Торговцев;108018047
0,58;Братство Кузнецов;302292809
0,38;Гильдия Гончаров;108593117
0,83;Гильдия Пекарей;104152664
0,75;Гильдия Августовских Торговцев;303645113
0,9;Ассоциация Оливковых Торговцев;93105199
0,12;Ассоциация Оливковых Торговцев;99262638
0,4;Ассоциация Оливковых Торговцев;300010663
0,22;Гильдия Гончаров;40647493
0,46;Гильдия Пекарей;322151
0,62;Гильдия Пекарей;75733583
0,39;Гильдия Гончаров;108572694
0,95;Гильдия Августовских Торговцев;68367745
0,6;Гильдия Августовских Торговцев;1441060
0,26;Гильдия Августовских Торговцев;106971056
0,96;Гильдия Августовских Торговцев;94857596
0,43;Гильдия Обработчиков Шерсти;98845749
0,99;Ассоциация Оливковых Торговцев;79932034
0,51;Ассоциация Оливковых Торговцев;108480929
0,43;Гильдия Гончаров;108469388
0,68;Гильдия Августовских Торговцев;100006398
0,22;Гильдия Гончаров;98451748
0,18;Гильдия Гончаров;99973173
0,47;Гильдия Пекарей;51955749
0,4;Гильдия Гончаров;43129912
0,05;Братство Виноделов;75925429
0,34;Союз Каменотесов;37930790
0,35;Гильдия Парфюмеров;42215731
0,55;Братство Поставщиков Специй;102393695
0,21;Ассоциация Оливковых Торговцев;106940354
0,33;Ассоциация Оливковых Торговцев;108442699
0,12;Братство Виноделов;77905297
0,13;Ассоциация Оливковых Торговцев;66586280
0,47;Ассоциация Оливковых Торговцев;76148976
0,14;Гильдия Обработчиков Шерсти;102343110
0,52;Братство Кузнецов;77895932
0,15;Братство Поставщиков Специй;105625339
0,89;Ассоциация Оливковых Торговцев;102031573
0,48;Объединение Рыбаков;301119995
0,59;Гильдия Пекарей;74225881
0,85;Гильдия Гончаров;99505095
0,78;Ассоциация Оливковых Торговцев;99966327
0,69;Объединение Рыбаков;100104768
0,14;Ассоциация Оливковых Торговцев;99960657
0,79;Ассоциация Оливковых Торговцев;305786399
0,75;Ассоциация Оливковых Торговцев;1363065
0,76;Объединение Рыбаков;99950371
0,97;Гильдия Пекарей;108371932
0,14;Ассоциация Оливковых Торговцев;106462828
0,82;Гильдия Августовских Торговцев;104688366
0,1;Ассоциация Оливковых Торговцев;104197794
0,14;Гильдия Августовских Торговцев;35996315
0,99;Гильдия Гончаров;4190463
0,17;Гильдия Пекарей;2039304
0,44;Ассоциация Оливковых Торговцев;77201983
0,26;Гильдия Гончаров;3341315
0,64;Ассоциация Оливковых Торговцев;8944711
0,8;Ассоциация Оливковых Торговцев;304921129
1;Ассоциация Оливковых Торговцев;105253880
0,85;Гильдия Гончаров;108354384
0,29;Гильдия Гончаров;107710673
0,62;Ассоциация Оливковых Торговцев;108354264
0,46;Ассоциация Оливковых Торговцев;303959901
0,23;Гильдия Гончаров;96487335
0,69;Ассоциация Оливковых Торговцев;108322702
0,48;Гильдия Августовских Торговцев;76944046
0,18;Гильдия Пекарей;59823673
0,93;Гильдия Августовских Торговцев;95405918
0,05;Гильдия Гончаров;65182333
0,35;Гильдия Гончаров;107510818
0,99;Гильдия Гончаров;97815413
0,8;Объединение Рыбаков;93539408
0,52;Гильдия Августовских Торговцев;3567546
0,1;Ассоциация Оливковых Торговцев;108329805
0,25;Гильдия Августовских Торговцев;97529571
0,89;Братство Поставщиков Специй;55151579
0,98;Ассоциация Оливковых Торговцев;94432862
0,2;Ассоциация Оливковых Торговцев;305703727
0,09;Гильдия Пекарей;99766842
0,65;Гильдия Гончаров;108214005
0,76;Гильдия Гончаров;106931043
0,84;Объединение Рыбаков;108170604
0,13;Гильдия Гончаров;7442509
0,63;Братство Поставщиков Специй;300258847
0,3;Гильдия Гончаров;76260641
0,23;Гильдия Гончаров;100031728
0,73;Гильдия Пекарей;302413463
0,33;Гильдия Гончаров;37546556
0,89;Гильдия Августовских Торговцев;80018164
0,77;Гильдия Пекарей;76158530
0,8;Гильдия Гончаров;106988663
0,83;Гильдия Пекарей;108057337
0,63;Гильдия Гончаров;73608760
0,1;Братство Кузнецов;104890971
0,98;Ассоциация Оливковых Торговцев;304841759
0,82;Гильдия Гончаров;75285706
0,58;Ассоциация Оливковых Торговцев;97616211
0,51;Ассоциация Оливковых Торговцев;305753557
0,92;Гильдия Августовских Торговцев;54864857
0,54;Ассоциация Оливковых Торговцев;104018162
0,5;Ассоциация Оливковых Торговцев;104340517
0,65;Гильдия Гончаров;60952679
0,38;Ассоциация Оливковых Торговцев;97998383
0,79;Ассоциация Оливковых Торговцев;7337468
0,13;Ассоциация Оливковых Торговцев;416346
0,33;Ассоциация Оливковых Торговцев;99788697
0,46;Гильдия Гончаров;99972642
0,13;Гильдия Парфюмеров;96513545
0,82;Гильдия Гончаров;102074874
0,2;Гильдия Гончаров;51137565
0,36;Гильдия Гончаров;74493769
0,1;Гильдия Августовских Торговцев;75717887
0,71;Ассоциация Оливковых Торговцев;9312867
0,2;Гильдия Гончаров;71031474
0,33;Гильдия Августовских Торговцев;74453845
0,62;Гильдия Парфюмеров;41127620
0,12;Ассоциация Оливковых Торговцев;108143989
0,63;Гильдия Пекарей;8071919
0,75;Гильдия Гончаров;304356941
0,3;Гильдия Августовских Торговцев;449438
0,77;Ассоциация Оливковых Торговцев;97695182
0,24;Лига Стеклодувов;300582811
0,65;Братство Кузнецов;103159973
0,64;Гильдия Гончаров;98976523
0,91;Ассоциация Оливковых Торговцев;100036716
0,77;Ассоциация Оливковых Торговцев;100399675
0,56;Братство Поставщиков Специй;305164389
0,46;Ассоциация Оливковых Торговцев;98998838
0,31;Ассоциация Оливковых Торговцев;107967238
0,94;Ассоциация Оливковых Торговцев;105864236
0,11;Гильдия Гончаров;5703223
0,34;Гильдия Гончаров;2563521
0,34;Ассоциация Оливковых Торговцев;300804109
0,56;Ассоциация Оливковых Торговцев;101979238
0,23;Гильдия Гончаров;92339779
0,64;Ассоциация Оливковых Торговцев;73959906
0,44;Ассоциация Оливковых Торговцев;92110793
0,7;Братство Кузнецов;94058606
0,75;Гильдия Гончаров;2741076
0,14;Ассоциация Оливковых Торговцев;99861105
0,83;Ассоциация Оливковых Торговцев;99517727
0,96;Ассоциация Оливковых Торговцев;302344499
0,79;Ассоциация Оливковых Торговцев;77099459
0,85;Гильдия Пекарей;107921928
0,95;Ассоциация Оливковых Торговцев;99667624
0,68;Гильдия Гончаров;85382244
0,46;Гильдия Августовских Торговцев;99659678
0,18;Гильдия Гончаров;1239931
0,17;Ассоциация Оливковых Торговцев;107121744
0,31;Ассоциация Оливковых Торговцев;108179764
0,4;Гильдия Пекарей;107753765
0,95;Гильдия Парфюмеров;73224411
0,06;Ассоциация Оливковых Торговцев;97968924
0,71;Ассоциация Оливковых Торговцев;303980327
0,9;Гильдия Гончаров;99337201
0,83;Гильдия Пекарей;31545706
0,54;Ассоциация Оливковых Торговцев;93443117
0,57;Гильдия Августовских Торговцев;92254830
0,49;Гильдия Пекарей;54863008
0,12;Объединение Фруктовых Садовников;5899854
0,4;Братство Кузнецов;32261533
0,94;Ассоциация Оливковых Торговцев;47190289
0,32;Ассоциация Оливковых Торговцев;108604821
0,08;Гильдия Гончаров;99490755
0,82;Гильдия Гончаров;2865854
0,19;Гильдия Гончаров;37143581
0,27;Гильдия Гончаров;305305147
0,28;Ассоциация Оливковых Торговцев;300753697
0,84;Ассоциация Оливковых Торговцев;1132598
0,48;Ассоциация Оливковых Торговцев;93680345
0,93;Ассоциация Оливковых Торговцев;35347835
0,12;Ассоциация Оливковых Торговцев;98935724
0,8;Братство Кузнецов;1128916
0,2;Гильдия Гончаров;79293810
0,84;Гильдия Гончаров;302500725
1;Ассоциация Оливковых Торговцев;302275261
0,68;Гильдия Пекарей;50212766
0,43;Ассоциация Оливковых Торговцев;87487595
0,63;Ассоциация Оливковых Торговцев;92196677
0,11;Гильдия Гончаров;103248001
1;Ассоциация Оливковых Торговцев;70771409
0,48;Союз Скотоводов;16823712
0,75;Гильдия Августовских Торговцев;71700711
0,05;Ассоциация Оливковых Торговцев;91666800
0,81;Гильдия Гончаров;107699083
0,91;Гильдия Пекарей;94027426
0,42;Гильдия Гончаров;1125918
0,35;Братство Кузнецов;91045489
0,21;Гильдия Гончаров;102319328
0,52;Ассоциация Оливковых Торговцев;107783646
0,82;Объединение Рыбаков;61893303
0,05;Гильдия Гончаров;106527231
0,32;Гильдия Гончаров;300558565
0,19;Гильдия Гончаров;7149689
0,74;Гильдия Гончаров;49842290
0,38;Гильдия Пекарей;1344801
0,14;Ассоциация Оливковых Торговцев;99768019
0,28;Гильдия Августовских Торговцев;1108983
0,29;Гильдия Гончаров;69523454
0,24;Союз Каменотесов;84587163
0,71;Ассоциация Оливковых Торговцев;1091212
0,8;Ассоциация Оливковых Торговцев;1398607
0,87;Братство Виноделов;92680106
0,09;Гильдия Гончаров;93992840
0,89;Гильдия Гончаров;1090535
0,13;Гильдия Гончаров;1086685
0,56;Ассоциация Оливковых Торговцев;97966585
0,46;Ассоциация Оливковых Торговцев;103867500
0,23;Ассоциация Оливковых Торговцев;73224264
0,73;Гильдия Августовских Торговцев;107680943
0,78;Ассоциация Оливковых Торговцев;104810325
0,69;Ассоциация Оливковых Торговцев;106729885
0,84;Братство Кузнецов;34752
0,23;Ассоциация Оливковых Торговцев;107750805
0,09;Ассоциация Оливковых Торговцев;5298943
0,75;Ассоциация Оливковых Торговцев;99771502
0,35;Ассоциация Оливковых Торговцев;104799053
0,72;Гильдия Гончаров;301538635
0,18;Гильдия Пекарей;107059169
0,16;Гильдия Парфюмеров;105723677
0,83;Гильдия Августовских Торговцев;300466077
0,67;Гильдия Пекарей;93853635
0,65;Ассоциация Оливковых Торговцев;107027014
0,93;Гильдия Гончаров;99721712
0,82;Братство Кузнецов;98159910
0,75;Ассоциация Оливковых Торговцев;107525482
0,62;Гильдия Августовских Торговцев;5309314
0,74;Гильдия Августовских Торговцев;71030655
0,94;Ассоциация Оливковых Торговцев;303863673
0,1;Братство Виноделов;105287259
0,61;Гильдия Парфюмеров;104451276
0,19;Гильдия Августовских Торговцев;50043083
0,96;Ассоциация Оливковых Торговцев;106088884
0,64;Гильдия Гончаров;107504610
0,78;Гильдия Гончаров;107254705
0,36;Братство Поставщиков Специй;301992787
0,5;Объединение Рыбаков;56911035
0,34;Гильдия Гончаров;99272121
0,65;Гильдия Августовских Торговцев;61838660
0,63;Ассоциация Оливковых Торговцев;107375711
0,99;Ассоциация Оливковых Торговцев;300452449
0,79;Гильдия Гончаров;997690
0,62;Гильдия Гончаров;36666966
0,56;Ассоциация Оливковых Торговцев;81654456
0,28;Гильдия Гончаров;69906924
0,76;Гильдия Августовских Торговцев;62344204
0,42;Ассоциация Оливковых Торговцев;1108836
0,81;Ассоциация Оливковых Торговцев;818182
0,9;Гильдия Гончаров;985552
0,3;Ассоциация Оливковых Торговцев;303924233
0,91;Ассоциация Оливковых Торговцев;93091432
0,32;Гильдия Парфюмеров;958232
0,72;Гильдия Пекарей;102408615
0,6;Гильдия Гончаров;928682
0,36;Гильдия Гончаров;93279366
0,62;Гильдия Пекарей;31545735
0,78;Ассоциация Оливковых Торговцев;95023514
0,72;Ассоциация Оливковых Торговцев;455562
0,43;Гильдия Августовских Торговцев;104508330
0,7;Братство Виноделов;105269917
0,07;Гильдия Августовских Торговцев;97377725
0,24;Гильдия Пекарей;4732561
0,75;Гильдия Гончаров;2215689
0,11;Гильдия Пекарей;97965322
0,66;Гильдия Августовских Торговцев;995482
0,72;Гильдия Парфюмеров;107680735
0,11;Гильдия Гончаров;95235084
0,53;Ассоциация Оливковых Торговцев;303718643
0,98;Ассоциация Оливковых Торговцев;770087
0,25;Объединение Рыбаков;97108688
0,99;Ассоциация Оливковых Торговцев;107883647
0,15;Гильдия Пекарей;107677417
0,09;Братство Кузнецов;603755
0,88;Гильдия Пекарей;96480437
0,28;Гильдия Гончаров;108148119
0,32;Гильдия Гончаров;91397372
0,29;Гильдия Августовских Торговцев;547236
0,23;Братство Кузнецов;103946016
0,28;Гильдия Гончаров;525589
0,07;Гильдия Пекарей;1702387
0,67;Братство Кузнецов;66503215
0,12;Ассоциация Оливковых Торговцев;107869960
0,34;Гильдия Гончаров;97551700
0,62;Гильдия Гончаров;48498248
0,35;Ассоциация Оливковых Торговцев;108117395
0,95;Братство Кузнецов;50306203
0,73;Союз Судостроителей;103998629
0,28;Гильдия Гончаров;93121462
0,45;Ассоциация Оливковых Торговцев;301139871
0,6;Гильдия Августовских Торговцев;106944445
0,99;Гильдия Гончаров;17508682
0,57;Гильдия Гончаров;108060672
0,18;Ассоциация Оливковых Торговцев;83289201
0,24;Гильдия Пекарей;97446147
0,41;Гильдия Парфюмеров;420871
0,89;Объединение Фруктовых Садовников;107529299
0,17;Ассоциация Оливковых Торговцев;103507950
0,6;Гильдия Гончаров;46105382
0,94;Ассоциация Оливковых Торговцев;105578785
0,27;Ассоциация Оливковых Торговцев;104794050
0,85;Гильдия Пекарей;18757272
0,54;Гильдия Гончаров;105528805
0,27;Ассоциация Оливковых Торговцев;300136679
0,99;Объединение Фруктовых Садовников;827234
0,29;Гильдия Пекарей;96830916
0,23;Братство Кузнецов;103721971
0,82;Ассоциация Оливковых Торговцев;105309073
0,95;Гильдия Гончаров;96327861
0,46;Ассоциация Оливковых Торговцев;73750763
0,92;Гильдия Августовских Торговцев;32941625
0,11;Гильдия Гончаров;1214999
0,78;Гильдия Гончаров;91805448
0,62;Гильдия Гончаров;93087839
0,85;Ассоциация Оливковых Торговцев;105682977
0,87;Гильдия Пекарей;31123543
0,82;Гильдия Гончаров;3322453
0,83;Ассоциация Оливковых Торговцев;87795686
0,71;Гильдия Обработчиков Шерсти;73963042
0,54;Братство Кузнецов;98940438
0,11;Гильдия Гончаров;97640020
0,41;Гильдия Августовских Торговцев;107177304
0,55;Гильдия Пекарей;62711487
0,8;Ассоциация Оливковых Торговцев;91310563
0,54;Гильдия Августовских Торговцев;47201423
0,25;Ассоциация Оливковых Торговцев;7852328
0,72;Гильдия Гончаров;303458625
0,17;Гильдия Пекарей;47934846
0,77;Ассоциация Оливковых Торговцев;300091493
0,25;Гильдия Гончаров;13967503
0,11;Ассоциация Оливковых Торговцев;91439380
0,33;Ассоциация Оливковых Торговцев;97187554
0,23;Гильдия Гончаров;87322314
0,77;Гильдия Пекарей;107169208
0,26;Братство Виноделов;107874936
0,11;Гильдия Августовских Торговцев;303723041
0,43;Гильдия Обработчиков Шерсти;73963084
0,38;Гильдия Августовских Торговцев;995640
0,59;Гильдия Августовских Торговцев;1533182
0,58;Гильдия Августовских Торговцев;589513
0,41;Гильдия Августовских Торговцев;65360941
0,84;Гильдия Гончаров;417339
0,48;Гильдия Августовских Торговцев;303851391
0,93;Ассоциация Оливковых Торговцев;100184587
0,91;Союз Каменотесов;54945901
0,13;Союз Каменотесов;104386938
0,96;Ассоциация Оливковых Торговцев;305606953
0,71;Гильдия Гончаров;107389298
0,8;Гильдия Августовских Торговцев;105381742
0,55;Гильдия Пекарей;106983242
0,45;Ассоциация Оливковых Торговцев;106562225
0,33;Гильдия Пекарей;53936935
0,89;Гильдия Гончаров;71279655
0,42;Гильдия Августовских Торговцев;304502407
0,98;Ассоциация Оливковых Торговцев;96820507
0,3;Гильдия Гончаров;92743366
0,84;Гильдия Пекарей;1549875
0,82;Ассоциация Оливковых Торговцев;106976798
0,1;Гильдия Парфюмеров;301112595
0,07;Ассоциация Оливковых Торговцев;1913959
0,45;Ассоциация Оливковых Торговцев;35456995
0,62;Ассоциация Оливковых Торговцев;90912820
0,07;Гильдия Пекарей;107869766
0,61;Гильдия Гончаров;304609011
0,88;Ассоциация Оливковых Торговцев;105046534
0,2;Гильдия Обработчиков Шерсти;106949116
0,69;Ассоциация Оливковых Торговцев;93924910
0,13;Гильдия Гончаров;522089
0,8;Объединение Рыбаков;302411233
0,59;Гильдия Гончаров;101822314
0,42;Гильдия Пекарей;106880646
0,18;Ассоциация Оливковых Торговцев;300836685
0,28;Гильдия Гончаров;31250309
0,08;Ассоциация Оливковых Торговцев;93647439
0,47;Гильдия Пекарей;301068511
0,75;Союз Каменотесов;106876273
0,82;Гильдия Пекарей;99542846
0,29;Гильдия Гончаров;75824631
0,43;Ассоциация Оливковых Торговцев;104104262
0,34;Ассоциация Оливковых Торговцев;304091781
0,15;Гильдия Пекарей;92499679
0,06;Гильдия Парфюмеров;99186198
0,32;Гильдия Августовских Торговцев;2257012
0,57;Ассоциация Оливковых Торговцев;98843514
0,41;Ассоциация Оливковых Торговцев;300014335
0,19;Ассоциация Оливковых Торговцев;105324142
0,46;Гильдия Гончаров;49316484
0,88;Гильдия Гончаров;84666682
0,92;Гильдия Августовских Торговцев;95954054
0,16;Гильдия Пекарей;93354138
0,17;Гильдия Августовских Торговцев;93258694
0,85;Союз Каменотесов;97955258
0,34;Ассоциация Оливковых Торговцев;93252093
0,28;Гильдия Пекарей;105708107
0,3;Ассоциация Оливковых Торговцев;72954229
0,85;Братство Кузнецов;100093248
0,22;Гильдия Августовских Торговцев;305123461
0,24;Гильдия Августовских Торговцев;106806659
0,21;Гильдия Пекарей;1001960
0,08;Гильдия Гончаров;39650614
0,89;Ассоциация Оливковых Торговцев;95452988
0,37;Ассоциация Оливковых Торговцев;91123731
0,63;Ассоциация Оливковых Торговцев;93190068
0,38;Гильдия Гончаров;107151217
0,53;Гильдия Пекарей;304859595
0,8;Гильдия Гончаров;99641901
0,45;Ассоциация Оливковых Торговцев;99361169
0,95;Гильдия Гончаров;106981106
0,88;Ассоциация Оливковых Торговцев;100123537
0,27;Гильдия Гончаров;69979987
0,48;Ассоциация Оливковых Торговцев;302121015
0,73;Гильдия Парфюмеров;93104577
0,37;Гильдия Пекарей;105980905
0,6;Братство Кузнецов;73156561
0,44;Гильдия Гончаров;302065257
0,72;Гильдия Августовских Торговцев;304591459
0,89;Ассоциация Оливковых Торговцев;102813516
0,89;Ассоциация Оливковых Торговцев;46105643
0,48;Ассоциация Оливковых Торговцев;39650910
0,07;Гильдия Августовских Торговцев;960391
0,54;Союз Судостроителей;107203082
0,26;Ассоциация Оливковых Торговцев;300477063
0,94;Гильдия Пекарей;105881401
0,62;Ассоциация Оливковых Торговцев;103700158
0,45;Гильдия Пекарей;67646286
0,74;Гильдия Августовских Торговцев;49018596
0,08;Ассоциация Оливковых Торговцев;300927053
0,23;Ассоциация Оливковых Торговцев;303490145
0,97;Гильдия Августовских Торговцев;73754648
0,82;Гильдия Гончаров;100045400
0,94;Гильдия Пекарей;108030261
0,58;Гильдия Пекарей;97328221
0,87;Братство Кузнецов;97099850
0,31;Ассоциация Оливковых Торговцев;95839817
0,32;Союз Каменотесов;69609092
0,98;Гильдия Пекарей;24222536
0,91;Ассоциация Оливковых Торговцев;108412738
0,88;Гильдия Пекарей;48632683
0,97;Ассоциация Оливковых Торговцев;96018006
1;Братство Поставщиков Специй;2151137
0,35;Ассоциация Оливковых Торговцев;103232608
0,11;Гильдия Пекарей;98220908
0,49;Гильдия Гончаров;47895372
0,23;Гильдия Гончаров;47895173
0,55;Гильдия Августовских Торговцев;95614327
0,09;Гильдия Гончаров;86643978
0,62;Братство Кузнецов;106658087
0,5;Гильдия Пекарей;9171579
0,17;Гильдия Августовских Торговцев;77075179
0,1;Ассоциация Оливковых Торговцев;39920754
0,11;Ассоциация Оливковых Торговцев;46611924
0,9;Гильдия Пекарей;91665547
0,17;Гильдия Гончаров;107290595
0,64;Гильдия Гончаров;100020732
0,21;Ассоциация Оливковых Торговцев;99594440
0,91;Ассоциация Оливковых Торговцев;99527707
0,48;Ассоциация Оливковых Торговцев;99524214
0,83;Гильдия Пекарей;99505359
0,73;Ассоциация Оливковых Торговцев;99505245
0,33;Ассоциация Оливковых Торговцев;99505066
0,28;Гильдия Гончаров;99482013
0,35;Гильдия Гончаров;99481402
0,54;Объединение Фруктовых Садовников;99457703
0,15;Гильдия Гончаров;99434082
0,8;Гильдия Гончаров;99403371
0,13;Лига Стеклодувов;99382972
0,24;Гильдия Гончаров;99382915
0,59;Гильдия Гончаров;99355999
0,6;Лига Стеклодувов;99335941
0,4;Ассоциация Оливковых Торговцев;99334970
0,97;Гильдия Гончаров;99316972
0,34;Гильдия Августовских Торговцев;99315099
0,19;Объединение Рыбаков;99258935
0,81;Гильдия Гончаров;99258096
0,92;Гильдия Гончаров;99245949
0,4;Гильдия Пекарей;99209969
0,86;Ассоциация Оливковых Торговцев;99209017
0,83;Гильдия Гончаров;99143065
0,08;Гильдия Гончаров;11128538
0,16;Гильдия Пекарей;99097135
0,47;Ассоциация Оливковых Торговцев;99079893
0,66;Ассоциация Оливковых Торговцев;99040764
0,48;Ассоциация Оливковых Торговцев;10492914
0,94;Гильдия Августовских Торговцев;99035576
0,83;Гильдия Парфюмеров;99032046
0,91;Гильдия Гончаров;99030914
0,45;Ассоциация Оливковых Торговцев;99030828
0,63;Ассоциация Оливковых Торговцев;99024303
0,64;Гильдия Обработчиков Шерсти;99021461
0,52;Ассоциация Оливковых Торговцев;106857370
0,6;Гильдия Гончаров;98977184
0,83;Ассоциация Оливковых Торговцев;106842996
0,64;Ассоциация Оливковых Торговцев;98956792
0,05;Гильдия Пекарей;106813504
0,74;Гильдия Гончаров;106773797
0,71;Гильдия Пекарей;10009913
0,35;Гильдия Гончаров;106763566
0,36;Ассоциация Оливковых Торговцев;106754287
0,55;Ассоциация Оливковых Торговцев;106738518
0,98;Гильдия Августовских Торговцев;106733380
0,27;Гильдия Августовских Торговцев;98937607
0,43;Ассоциация Оливковых Торговцев;106657893
0,82;Лига Стеклодувов;106649427
0,59;Ассоциация Оливковых Торговцев;106642679
0,2;Гильдия Пекарей;106631941
0,47;Гильдия Гончаров;106570531
0,16;Ассоциация Оливковых Торговцев;106553068
0,1;Братство Поставщиков Специй;106514636
0,09;Ассоциация Оливковых Торговцев;106484982
0,93;Братство Поставщиков Специй;98890052
0,81;Гильдия Гончаров;98865809
0,55;Гильдия Гончаров;9500325
0,58;Ассоциация Оливковых Торговцев;9487263
0,59;Гильдия Гончаров;98841511
0,51;Ассоциация Оливковых Торговцев;98817812
0,55;Гильдия Гончаров;98817786
0,63;Ассоциация Оливковых Торговцев;9400889
0,79;Гильдия Гончаров;9393683
0,09;Ассоциация Оливковых Торговцев;9374265
0,31;Ассоциация Оливковых Торговцев;106363896
0,79;Гильдия Гончаров;106328024
0,85;Гильдия Гончаров;106326067
0,72;Гильдия Гончаров;106290086
0,21;Гильдия Августовских Торговцев;106284319
0,72;Ассоциация Оливковых Торговцев;106276181
0,08;Ассоциация Оливковых Торговцев;106259487
0,17;Гильдия Пекарей;106258028
0,3;Ассоциация Оливковых Торговцев;9218796
0,6;Братство Поставщиков Специй;106222895
0,08;Ассоциация Оливковых Торговцев;106195249
0,17;Гильдия Гончаров;106193748
0,12;Ассоциация Оливковых Торговцев;106193631
0,12;Ассоциация Оливковых Торговцев;106193335
0,11;Ассоциация Оливковых Торговцев;106170396
0,88;Гильдия Августовских Торговцев;106167502
0,84;Гильдия Гончаров;98806656
0,9;Гильдия Пекарей;98806159
0,45;Ассоциация Оливковых Торговцев;98789952
0,32;Ассоциация Оливковых Торговцев;98785695
0,35;Гильдия Пекарей;106153580
0,26;Ассоциация Оливковых Торговцев;106137680
0,09;Ассоциация Оливковых Торговцев;106079027
0,18;Гильдия Гончаров;106056439
0,25;Гильдия Парфюмеров;98938625
0,62;Ассоциация Оливковых Торговцев;106055691
0,1;Ассоциация Оливковых Торговцев;106041169
0,87;Ассоциация Оливковых Торговцев;106014677
0,98;Ассоциация Оливковых Торговцев;105984774
0,08;Ассоциация Оливковых Торговцев;9095794
0,27;Ассоциация Оливковых Торговцев;9076490
0,86;Ассоциация Оливковых Торговцев;98780203
0,46;Гильдия Гончаров;98766205
0,71;Братство Кузнецов;98756398
0,1;Объединение Фруктовых Садовников;9060013
0,7;Гильдия Гончаров;105911474
0,53;Братство Кузнецов;105902910
0,92;Ассоциация Оливковых Торговцев;105897961
0,42;Ассоциация Оливковых Торговцев;105880832
